2026-04-30 16:42:31,283 | INFO | recomart_feature_engineering | Starting RecoMart feature engineering pipeline
2026-04-30 16:42:32,312 | INFO | recomart_feature_engineering | Executing SQL file: sql/feature_engineering/00_create_feature_objects.sql
2026-04-30 16:42:32,487 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:32,661 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:32,946 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:33,216 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:33,753 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:33,988 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:34,254 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:34,511 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:34,511 | INFO | recomart_feature_engineering | Executing SQL file: sql/feature_engineering/01_create_user_activity_features.sql
2026-04-30 16:42:34,658 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:34,799 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:35,296 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:35,458 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:35,612 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:35,847 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:39,831 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:39,831 | INFO | recomart_feature_engineering | Executing SQL file: sql/feature_engineering/02_create_item_popularity_features.sql
2026-04-30 16:42:39,973 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:40,121 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:40,290 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:40,442 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:40,595 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:40,870 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:41,954 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:41,955 | INFO | recomart_feature_engineering | Executing SQL file: sql/feature_engineering/03_create_user_category_affinity.sql
2026-04-30 16:42:42,095 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:42,253 | INFO | recomart_feature_engineering | Statement executed successfully
2026-04-30 16:42:42,415 | INFO | recomart_feature_engineering | Statement executed successfully
