USER_ID,ITEM_ID,USER_ACTIVITY_LEVEL,ITEM_POPULARITY_SCORE,ITEM_CONVERSION_RATE,USER_ITEM_IMPLICIT_SCORE,RECOMMENDATION_CANDIDATE_SCORE,FEATURE_VERSION,SOURCE_VALIDATION_BATCH_ID
1150086,461686,HIGH,4115.0,0.052403,45.0,1257.0104806,v1,20260502031153
1150086,461686,HIGH,4115.0,0.052403,45.0,1257.0104806,v1,20260430081645
1150086,461686,HIGH,4115.0,0.052403,45.0,1257.0104806,v1,20260430075931
1150086,461686,HIGH,4115.0,0.052403,45.0,1257.0104806,v1,20260430030321
1150086,461686,HIGH,4115.0,0.052403,45.0,1257.0104806,v1,20260502024231
90729,461686,MEDIUM,4115.0,0.052403,32.0,1250.5104806,v1,20260502031153
90729,461686,MEDIUM,4115.0,0.052403,32.0,1250.5104806,v1,20260430081645
90729,461686,MEDIUM,4115.0,0.052403,32.0,1250.5104806,v1,20260502024231
90729,461686,MEDIUM,4115.0,0.052403,32.0,1250.5104806,v1,20260430075931
90729,461686,MEDIUM,4115.0,0.052403,32.0,1250.5104806,v1,20260430030321
968159,461686,HIGH,4115.0,0.052403,28.0,1248.5104806,v1,20260430030321
968159,461686,HIGH,4115.0,0.052403,28.0,1248.5104806,v1,20260430081645
968159,461686,HIGH,4115.0,0.052403,28.0,1248.5104806,v1,20260502024231
968159,461686,HIGH,4115.0,0.052403,28.0,1248.5104806,v1,20260502031153
968159,461686,HIGH,4115.0,0.052403,28.0,1248.5104806,v1,20260430075931
672218,461686,HIGH,4115.0,0.052403,27.0,1248.0104806,v1,20260430030321
672218,461686,HIGH,4115.0,0.052403,27.0,1248.0104806,v1,20260430081645
672218,461686,HIGH,4115.0,0.052403,27.0,1248.0104806,v1,20260502031153
672218,461686,HIGH,4115.0,0.052403,27.0,1248.0104806,v1,20260502024231
672218,461686,HIGH,4115.0,0.052403,27.0,1248.0104806,v1,20260430075931
